iter	Passed	Remaining
0	56	56753
1	57	28531
2	57	19106
3	57	14404
4	58	11594
5	58	9717
6	58	8360
7	59	7353
8	59	6567
9	60	5946
10	60	5425
11	60	4993
12	60	4627
13	61	4309
14	61	4037
15	61	3798
16	62	3588
17	62	3406
18	62	3241
19	63	3087
20	63	2949
21	63	2827
22	63	2713
23	64	2609
24	64	2514
25	64	2428
26	65	2349
27	65	2272
28	65	2200
29	66	2135
30	66	2072
31	66	2014
32	66	1960
33	67	1910
34	67	1862
35	67	1816
36	68	1772
37	68	1730
38	68	1693
39	68	1655
40	69	1620
41	69	1586
42	69	1554
43	70	1524
44	70	1495
45	70	1467
46	71	1440
47	71	1413
48	71	1388
49	71	1365
50	72	1343
51	72	1320
52	72	1300
53	73	1280
54	73	1260
55	73	1241
56	73	1222
57	74	1204
58	74	1187
59	74	1171
60	75	1154
61	75	1139
62	75	1124
63	75	1109
64	76	1095
65	76	1081
66	76	1067
67	76	1054
68	77	1043
69	77	1031
70	77	1020
71	78	1008
72	78	997
73	78	986
74	79	975
75	79	965
76	79	954
77	79	945
78	80	935
79	80	926
80	80	918
81	81	909
82	81	898
83	81	890
84	81	882
85	82	873
86	82	865
87	82	857
88	83	849
89	83	842
90	83	834
91	83	828
92	84	821
93	84	814
94	84	807
95	85	800
96	85	794
97	85	788
98	85	782
99	86	776
100	86	770
101	86	764
102	87	758
103	87	753
104	87	747
105	88	742
106	88	737
107	88	732
108	89	727
109	89	722
110	89	717
111	89	712
112	90	707
113	90	702
114	90	697
115	90	693
116	91	688
117	91	683
118	91	680
119	92	676
120	92	671
121	92	667
122	92	662
123	93	658
124	93	654
125	93	651
126	94	647
127	94	643
128	94	639
129	94	635
130	95	631
131	95	628
132	95	625
133	96	622
134	96	618
135	96	615
136	97	611
137	97	608
138	97	604
139	97	601
140	98	598
141	98	594
142	98	591
143	98	588
144	99	585
145	99	583
146	99	579
147	100	577
148	100	574
149	100	571
150	101	568
151	101	566
152	102	564
153	102	562
154	102	559
155	102	557
156	103	554
157	103	551
158	103	549
159	104	547
160	104	544
161	104	542
162	105	540
163	105	538
164	105	535
165	106	533
166	106	531
167	106	529
168	107	527
169	107	525
170	107	523
171	108	521
172	108	518
173	108	516
174	109	514
175	109	512
176	109	510
177	110	508
178	110	506
179	110	504
180	111	502
181	111	500
182	111	498
183	112	496
184	112	494
185	112	493
186	113	491
187	113	490
188	113	488
189	114	486
190	114	484
191	114	482
192	115	480
193	115	479
194	115	477
195	115	475
196	116	474
197	116	473
198	117	471
199	117	469
200	117	467
201	118	468
202	119	467
203	119	465
204	119	464
205	119	462
206	120	460
207	120	458
208	120	457
209	121	455
210	121	454
211	121	452
212	122	451
213	122	450
214	122	449
215	123	447
216	123	446
217	123	444
218	124	443
219	124	441
220	124	440
221	125	439
222	125	438
223	125	436
224	126	434
225	126	433
226	126	431
227	126	429
228	127	428
229	127	427
230	127	425
231	128	424
232	128	423
233	128	422
234	129	420
235	129	419
236	129	418
237	130	417
238	130	416
239	131	415
240	131	413
241	131	412
242	131	410
243	132	409
244	132	408
245	132	407
246	133	406
247	133	404
248	133	403
249	134	402
250	134	401
251	134	400
252	135	398
253	135	397
254	135	396
255	136	395
256	136	394
257	136	393
258	136	391
259	137	390
260	137	389
261	138	389
262	138	387
263	138	387
264	139	385
265	139	384
266	139	383
267	140	382
268	140	381
269	140	380
270	141	379
271	141	378
272	141	377
273	142	376
274	142	375
275	142	374
276	143	373
277	143	372
278	143	371
279	143	370
280	144	368
281	144	368
282	144	367
283	145	366
284	145	365
285	145	364
286	146	363
287	146	362
288	146	361
289	147	360
290	147	359
291	147	358
292	148	357
293	148	356
294	148	355
295	149	354
296	149	353
297	149	353
298	150	352
299	150	351
300	150	350
301	151	349
302	151	348
303	151	347
304	152	346
305	152	345
306	152	344
307	152	343
308	153	342
309	153	342
310	154	341
